dt,symbol,shares,price,fee
2021-06-14 00:00:00+00:00,BMO,573,87.24,29.993112
2021-06-16 00:00:00+00:00,BMO,-573,87.24,29.993112
2021-06-21 00:00:00+00:00,BMO,588,85.68,30.227904000000002
2021-06-23 00:00:00+00:00,BMO,-9,87.19,0.470826
2021-06-24 00:00:00+00:00,BMO,-579,87.29,30.324546
2021-06-30 00:00:00+00:00,BMO,591,85.16,30.197736
2021-07-06 00:00:00+00:00,BMO,-591,85.88,30.453047999999995
2021-07-09 00:00:00+00:00,BMO,608,84.35,30.77088
2021-07-12 00:00:00+00:00,BMO,-9,84.01,0.453654
2021-07-13 00:00:00+00:00,BMO,-599,84.92,30.520248000000002
2021-07-16 00:00:00+00:00,MNDY,243,210.2,30.64716
2021-07-19 00:00:00+00:00,BMO,596,81.41,29.112216000000004
2021-07-19 00:00:00+00:00,MNDY,5,194.0,0.582
2021-07-20 00:00:00+00:00,BMO,33,79.92,1.582416
2021-07-20 00:00:00+00:00,MNDY,-9,210.0,1.1340000000000001
2021-07-21 00:00:00+00:00,BMO,-14,81.74,0.6866159999999999
2021-07-21 00:00:00+00:00,MNDY,6,204.32,0.7355520000000001
2021-07-22 00:00:00+00:00,MNDY,-245,210.95,31.00965
2021-07-26 00:00:00+00:00,BMO,-615,82.68,30.508920000000003
2021-08-04 00:00:00+00:00,MNDY,251,206.9,31.159140000000004
2021-08-06 00:00:00+00:00,MNDY,-251,224.66,33.833796
2021-08-18 00:00:00+00:00,BMO,628,84.89,31.986551999999996
2021-08-20 00:00:00+00:00,BMO,7,82.9,0.34818000000000005
2021-08-23 00:00:00+00:00,BMO,-3,84.81,0.152658
2021-08-24 00:00:00+00:00,BMO,-632,86.19,32.683248000000006
2021-08-31 00:00:00+00:00,BMO,640,84.17,32.32128
2021-09-02 00:00:00+00:00,BMO,-640,85.1,32.678399999999996
2021-09-21 00:00:00+00:00,BMO,658,82.84,32.705232
2021-09-22 00:00:00+00:00,BMO,-4,83.05,0.19932
2021-09-23 00:00:00+00:00,BMO,-4,84.4,0.20256000000000002
2021-09-24 00:00:00+00:00,BMO,-650,84.86,33.0954
2021-09-29 00:00:00+00:00,MNDY,166,330.0,32.868
2021-10-01 00:00:00+00:00,BMO,647,84.24,32.701968
2021-10-01 00:00:00+00:00,MNDY,1,329.18,0.19750800000000002
2021-10-04 00:00:00+00:00,MNDY,-1,327.51,0.19650600000000001
2021-10-05 00:00:00+00:00,BMO,-647,85.56,33.214392000000004
2021-10-05 00:00:00+00:00,MNDY,-166,330.66,32.933736
2021-11-03 00:00:00+00:00,MNDY,151,366.17,33.175002000000006
2021-11-04 00:00:00+00:00,MNDY,2,354.0,0.42479999999999996
2021-11-08 00:00:00+00:00,MNDY,1,359.81,0.21588600000000002
2021-11-09 00:00:00+00:00,MNDY,-154,384.03,35.484372
2021-11-16 00:00:00+00:00,MNDY,153,368.69,33.845742
