datetime,equity,cash,positions_value,gross_exposure,net_exposure,num_positions,daily_return
2020-01-02 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-03 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-06 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-07 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-08 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-09 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-10 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-13 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-14 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-15 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-16 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-17 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-21 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-22 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-23 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-24 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-27 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-28 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-29 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-30 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-01-31 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-02-03 00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,0,0.0
2020-02-04 00:00:00+00:00,100546.430192,48919.690192,51626.74,51626.74,51626.74,1,0.005464301920000025
2020-02-05 00:00:00+00:00,100969.160192,48919.690192,52049.469999999994,52049.469999999994,52049.469999999994,1,0.004204326291771476
2020-02-06 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.001483934457958025
2020-02-07 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-10 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-11 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-12 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-13 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-14 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-18 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-19 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-20 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-21 00:00:00+00:00,101118.99180799999,101118.99180799999,0.0,0.0,0.0,0,0.0
2020-02-24 00:00:00+00:00,101057.085356,4483.625355999997,96573.45999999999,96573.45999999999,96573.45999999999,2,-0.0006122138966490054
2020-02-25 00:00:00+00:00,98123.61413400002,-54.46586600000319,98178.08000000002,98178.08000000002,98178.08000000002,2,-0.02902786293178805
2020-02-26 00:00:00+00:00,99078.27310399999,14.433103999996803,99063.84,99063.84,99063.84,2,0.00972914602081687
2020-02-27 00:00:00+00:00,93159.047158,-51.9228420000033,93210.97,93210.97,93210.97,2,-0.059742926078119374
2020-02-28 00:00:00+00:00,93883.817606,15.817605999996715,93868.0,93868.0,93868.0,2,0.007779925515669639
2020-03-02 00:00:00+00:00,99991.450346,8.070345999996675,99983.38,99983.38,99983.38,2,0.0650552235277837
2020-03-03 00:00:00+00:00,101128.561626,101128.561626,0.0,0.0,0.0,0,0.011372085073926286
2020-03-04 00:00:00+00:00,102131.404426,49835.804425999995,52295.6,52295.6,52295.6,1,0.009916514028042611
2020-03-05 00:00:00+00:00,100725.25242599999,100725.25242599999,0.0,0.0,0.0,0,-0.013768066814540236
2020-03-06 00:00:00+00:00,100725.25242599999,100725.25242599999,0.0,0.0,0.0,0,0.0
2020-03-09 00:00:00+00:00,101096.009574,53925.76957399999,47170.240000000005,47170.24,47170.240000000005,1,0.0036808758386819296
2020-03-10 00:00:00+00:00,105191.23272599999,-2235.9872740000064,107427.22,107427.22,107427.22,2,0.04050825714344719
