dt,symbol,shares,price,fee
2020-02-04 00:00:00+00:00,AAPL,671,76.08,30.629808
2020-02-06 00:00:00+00:00,AAPL,-671,77.84,31.338384
2020-02-24 00:00:00+00:00,GOOG,686,70.77,29.128931999999995
2020-02-24 00:00:00+00:00,AAPL,668,71.9,28.817520000000002
2020-02-25 00:00:00+00:00,GOOG,30,71.11,1.2799800000000001
2020-02-25 00:00:00+00:00,AAPL,33,72.79,1.4412420000000001
2020-02-26 00:00:00+00:00,GOOG,-4,69.28,0.16627200000000003
2020-02-26 00:00:00+00:00,AAPL,3,69.31,0.12475800000000001
2020-02-27 00:00:00+00:00,GOOG,5,67.59,0.20277
2020-02-27 00:00:00+00:00,AAPL,-4,67.99,0.163176
2020-02-28 00:00:00+00:00,GOOG,-5,63.4,0.1902
2020-02-28 00:00:00+00:00,AAPL,4,62.23,0.149352
2020-03-02 00:00:00+00:00,GOOG,-6,67.07,0.24145199999999997
2020-03-02 00:00:00+00:00,AAPL,6,68.28,0.245808
2020-03-03 00:00:00+00:00,GOOG,-706,69.45,29.419020000000003
2020-03-03 00:00:00+00:00,AAPL,-710,73.45,31.289700000000003
2020-03-04 00:00:00+00:00,GOOG,760,67.45,30.7572
2020-03-05 00:00:00+00:00,GOOG,-760,67.0,30.552
2020-03-09 00:00:00+00:00,GOOG,782,59.81,28.062852
2020-03-10 00:00:00+00:00,GOOG,56,62.53,2.101008
2020-03-10 00:00:00+00:00,AAPL,785,67.04,31.575840000000003
2020-03-11 00:00:00+00:00,GOOG,-10,62.02,0.37212000000000006
2020-03-12 00:00:00+00:00,GOOG,6,55.88,0.201168
2020-03-13 00:00:00+00:00,GOOG,-9,58.51,0.315954
2020-03-13 00:00:00+00:00,AAPL,-24,64.07,0.922608
2020-03-16 00:00:00+00:00,GOOG,-825,54.39,26.92305
2020-03-16 00:00:00+00:00,AAPL,-761,58.52,26.720232000000003
2020-03-17 00:00:00+00:00,GOOG,831,54.25,27.04905
2020-03-17 00:00:00+00:00,AAPL,763,59.87,27.408486
2020-03-18 00:00:00+00:00,GOOG,-8,52.43,0.251664
2020-03-19 00:00:00+00:00,GOOG,-823,54.24,26.783712
2020-03-19 00:00:00+00:00,AAPL,-763,59.84,27.394752000000004
2020-03-20 00:00:00+00:00,GOOG,807,56.36,27.289512000000002
2020-03-20 00:00:00+00:00,AAPL,754,59.79,27.048996
2020-03-23 00:00:00+00:00,GOOG,-807,52.67,25.502814
2020-03-24 00:00:00+00:00,AAPL,2,57.17,0.06860400000000001
2020-03-25 00:00:00+00:00,AAPL,-756,60.65,27.51084
2020-06-12 00:00:00+00:00,GOOG,624,70.89,26.541216
2020-06-15 00:00:00+00:00,GOOG,-8,69.02,0.331296
2020-06-16 00:00:00+00:00,GOOG,-2,71.72,0.086064
2020-06-18 00:00:00+00:00,GOOG,-614,71.91,26.491644
2020-06-29 00:00:00+00:00,GOOG,648,67.4,26.20512
2020-06-30 00:00:00+00:00,GOOG,-8,69.0,0.33120000000000005
2020-07-02 00:00:00+00:00,GOOG,-640,71.8,27.571199999999997
2020-07-24 00:00:00+00:00,AAPL,501,88.27,26.533962
2020-07-27 00:00:00+00:00,GOOG,606,75.21,27.346355999999997
2020-07-27 00:00:00+00:00,AAPL,5,90.91,0.27273
2020-07-29 00:00:00+00:00,GOOG,4,74.75,0.1794
2020-07-29 00:00:00+00:00,AAPL,-4,90.95,0.21828
2020-07-30 00:00:00+00:00,GOOG,-610,74.29,27.190140000000003
2020-07-30 00:00:00+00:00,AAPL,-502,91.37,27.520644000000004
2020-08-03 00:00:00+00:00,GOOG,619,73.77,27.398177999999998
2020-08-05 00:00:00+00:00,GOOG,3,72.91,0.131238
2020-08-06 00:00:00+00:00,GOOG,-2,73.04,0.087648
2020-08-07 00:00:00+00:00,GOOG,-620,74.44,27.691679999999998
2020-09-08 00:00:00+00:00,AAPL,389,110.95,25.89573
2020-09-09 00:00:00+00:00,GOOG,598,77.29,27.731652000000004
2020-09-09 00:00:00+00:00,AAPL,26,113.96,1.7777760000000002
2020-09-10 00:00:00+00:00,GOOG,1,77.45,0.046470000000000004
2020-09-10 00:00:00+00:00,AAPL,-9,116.98,0.6316919999999999
2020-09-11 00:00:00+00:00,GOOG,-5,76.22,0.22866000000000003
2020-09-11 00:00:00+00:00,AAPL,4,111.35,0.26724
2020-09-14 00:00:00+00:00,GOOG,-2,76.37,0.091644
2020-09-14 00:00:00+00:00,AAPL,1,111.49,0.066894
2020-09-15 00:00:00+00:00,GOOG,-592,76.22,27.073344
2020-09-15 00:00:00+00:00,AAPL,-411,115.0,28.359
2020-09-21 00:00:00+00:00,GOOG,637,71.46,27.312011999999996
2020-09-21 00:00:00+00:00,AAPL,445,101.6,27.127200000000002
2020-09-22 00:00:00+00:00,GOOG,28,71.96,1.2089279999999998
