dt,symbol,shares,price,fee
2022-01-06 00:00:00+00:00,NVDA,1815,27.59,30.04551
2022-01-10 00:00:00+00:00,NVDA,10,26.53,0.15918000000000002
2022-01-11 00:00:00+00:00,NVDA,-5,27.27,0.08181
2022-01-12 00:00:00+00:00,NVDA,-1820,28.01,30.586920000000006
2022-01-26 00:00:00+00:00,NVDA,2260,23.2,31.459200000000003
2022-01-26 00:00:00+00:00,ORCL,654,77.85,30.54834
2022-01-27 00:00:00+00:00,NVDA,-101,23.52,1.425312
2022-01-27 00:00:00+00:00,ORCL,-5,76.14,0.22841999999999998
2022-01-28 00:00:00+00:00,NVDA,45,21.97,0.59319
2022-01-28 00:00:00+00:00,ORCL,-12,76.02,0.547344
2022-01-31 00:00:00+00:00,ORCL,10,76.5,0.459
2022-02-01 00:00:00+00:00,NVDA,-2204,25.06,33.139344
2022-02-01 00:00:00+00:00,ORCL,-647,77.36,30.031152000000002
2022-02-09 00:00:00+00:00,ORCL,680,77.69,31.69752
2022-02-10 00:00:00+00:00,ORCL,-680,78.65,32.089200000000005
2022-02-16 00:00:00+00:00,ORCL,693,75.53,31.405374
2022-02-17 00:00:00+00:00,ORCL,3,74.85,0.13473
2022-02-18 00:00:00+00:00,ORCL,17,71.76,0.731952
2022-02-22 00:00:00+00:00,ORCL,5,70.16,0.21047999999999997
2022-02-23 00:00:00+00:00,NVDA,2172,23.76,30.964032000000003
2022-02-23 00:00:00+00:00,ORCL,2,70.4,0.08448
2022-02-24 00:00:00+00:00,NVDA,3,20.97,0.037745999999999995
2022-02-24 00:00:00+00:00,ORCL,-14,67.42,0.566328
2022-02-25 00:00:00+00:00,ORCL,-706,70.95,30.054420000000004
2022-02-28 00:00:00+00:00,NVDA,-2175,23.95,31.25475
2022-03-08 00:00:00+00:00,NVDA,2395,21.27,30.56499
2022-03-09 00:00:00+00:00,NVDA,-8,22.35,0.10728000000000001
2022-03-09 00:00:00+00:00,ORCL,736,71.21,31.446336
2022-03-11 00:00:00+00:00,NVDA,-2387,22.98,32.911956
2022-03-11 00:00:00+00:00,ORCL,-736,72.9,32.192640000000004
2022-04-07 00:00:00+00:00,NVDA,2202,24.4,32.23728
2022-04-08 00:00:00+00:00,NVDA,6,23.88,0.08596799999999999
2022-04-11 00:00:00+00:00,NVDA,52,22.18,0.692016
2022-04-11 00:00:00+00:00,ORCL,676,76.93,31.202808000000005
2022-04-12 00:00:00+00:00,NVDA,50,22.5,0.675
2022-04-12 00:00:00+00:00,ORCL,-12,76.28,0.549216
2022-04-13 00:00:00+00:00,NVDA,15,21.69,0.19521000000000002
2022-04-13 00:00:00+00:00,ORCL,-5,75.63,0.22688999999999998
2022-04-14 00:00:00+00:00,NVDA,-30,22.47,0.40445999999999993
